"list","ExpFiller","condition","workerid","competitor","correctAns","click1","click2","click3","click4","target","trial_order","trial_group","RT1","RT2","RT3","RT4","selection_correct","display"
"l1","Exp","never","10",1,"AOI2","1","1","1","2",2,25,"second_half",926,504,579,1209,1,2
"l1","Exp","never","50",1,"AOI2","2","2","2","2",2,16,"second_half",609,910,1314,490,1,2
"l1","Exp","never","31",1,"AOI2","1","1","2","2",2,7,"first_half",775,712,1336,712,1,2
"l1","Exp","never","44",1,"AOI2","2","2","2","2",2,32,"second_half",1515,927,1413,717,1,2
"l1","Exp","never","33",1,"AOI2","1","1","2","2",2,18,"second_half",1303,1342,1852,141,1,2
"l1","Exp","never","23",1,"AOI2","3","1","2","2",2,28,"second_half",1218,2516,1250,3751,1,2
"l1","Exp","never","17",1,"AOI2","1","1","2","2",2,10,"first_half",1731,1362,1644,758,1,2
"l1","Exp","never","22",1,"AOI2","1","1","2","2",2,6,"first_half",1179,1231,1394,893,1,2
"l1","Exp","never","5",1,"AOI2","1","1","2","2",2,14,"first_half",1184,1484,2159,890,1,2
"l1","Exp","never","46",1,"AOI2","1","1","2","2",2,25,"second_half",795,730,1043,294,1,2
"l1","Exp","never","39",1,"AOI2","1","1","2","2",2,9,"first_half",2023,1727,1673,604,1,2
"l1","Exp","rarely","44",2,"AOI1","2","2","1","1",1,25,"second_half",3788,1135,1250,674,1,1
"l1","Exp","rarely","5",2,"AOI1","1","1","1","1",1,9,"first_half",1114,1186,2647,959,1,1
"l1","Exp","rarely","39",2,"AOI1","1","1","1","1",1,11,"first_half",1126,726,1463,535,1,1
"l1","Exp","rarely","50",2,"AOI1","1","1","1","1",1,4,"first_half",1011,1058,1318,440,1,1
"l1","Exp","rarely","22",2,"AOI1","3","1","1","1",1,20,"second_half",964,1014,1664,765,1,1
"l1","Exp","rarely","17",2,"AOI1","1","1","1","1",1,30,"second_half",1584,1054,1603,752,1,1
"l1","Exp","rarely","10",2,"AOI1","1","1","1","1",1,13,"first_half",908,572,1670,642,1,1
"l1","Exp","rarely","31",2,"AOI1","1","1","1","1",1,10,"first_half",960,1160,2088,688,1,1
"l1","Exp","rarely","46",2,"AOI1","4","2","1","1",1,10,"first_half",1154,712,884,262,1,1
"l1","Exp","rarely","33",2,"AOI1","1","1","1","1",1,22,"second_half",2403,677,2266,806,1,1
"l1","Exp","rarely","23",2,"AOI1","4","2","1","1",1,11,"first_half",890,1259,1844,603,1,1
"l1","Exp","rarely","46",1,"AOI2","1","1","2","2",2,14,"first_half",696,977,1058,270,1,13
"l1","Exp","rarely","33",1,"AOI2","3","1","2","2",2,8,"first_half",1252,1387,2102,177,1,13
"l1","Exp","rarely","17",1,"AOI2","1","1","2","2",2,31,"second_half",2748,1255,1568,838,1,13
"l1","Exp","rarely","22",1,"AOI2","3","1","2","2",2,9,"first_half",940,2165,3368,859,1,13
"l1","Exp","rarely","23",1,"AOI2","4","1","2","2",2,18,"second_half",761,1224,1619,1097,1,13
