"list_id","display_id","condition","target_object","modal","sentence","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","list_name","trial_in_list","variant","exp_groups","filler_group","color_pair","marble_orientation","wheel_option","instruction","target_loc","competitor_loc"
3,5,"exp","wheel","rarely","The arrow rarely lands on blue.","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","List3",1,"V2","BC","A","b-y","b->y","same","The |arrow |rarely lands on |blue.","LT","LB"
3,5,"exp","marble","always","The marble always lands on blue.","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","List3",2,"V2","BC","A","b-y","b->y","same","The |marble |always lands on |blue.","RT","RB"
3,6,"exp","wheel","never","The arrow never lands on blue.","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_25-75_b-y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","marble_100-0_b.png","wheel_100-0_y.png","List3",3,"V2","BC","A","b-y","b->y","flipped","The |arrow |never lands on |blue.","RB","RT"
3,6,"exp","marble","usually","The marble usually lands on yellow.","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","List3",4,"V2","BC","A","b-y","b->y","flipped","The |marble |usually lands on |yellow.","LB","LT"
3,7,"exp","wheel","always","The arrow always lands on yellow.","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","List3",5,"V2","BC","A","b-y","y->b","same","The |arrow |always lands on |yellow.","RT","RB"
3,7,"exp","marble","rarely","The marble rarely lands on yellow.","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","List3",6,"V2","BC","A","b-y","y->b","same","The |marble |rarely lands on |yellow.","LT","LB"
3,8,"exp","wheel","usually","The arrow usually lands on yellow.","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","List3",7,"V2","BC","A","b-y","y->b","flipped","The |arrow |usually lands on |yellow.","LB","LT"
3,8,"exp","marble","never","The marble never lands on blue.","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","List3",8,"V2","BC","A","b-y","y->b","flipped","The |marble |never lands on |blue.","RB","RT"
3,9,"exp","wheel","rarely","The arrow rarely lands on green.","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_g-y.png","marble_100-0_g.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","List3",9,"V2","BC","A","g-y","g->y","same","The |arrow |rarely lands on |green.","RB","RT"
3,9,"exp","marble","always","The marble always lands on green.","marble_100-0_g.png","marble_25-75_g-y.png","wheel_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","List3",10,"V2","BC","A","g-y","g->y","same","The |marble |always lands on |green.","RT","RB"
3,10,"exp","wheel","never","The arrow never lands on green.","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","List3",11,"V2","BC","A","g-y","g->y","flipped","The |arrow |never lands on |green.","LT","LB"
3,10,"exp","marble","usually","The marble usually lands on yellow.","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_100-0_g.png","wheel_100-0_y.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","List3",12,"V2","BC","A","g-y","g->y","flipped","The |marble |usually lands on |yellow.","LB","LT"
3,11,"exp","wheel","always","The arrow always lands on yellow.","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_y.png","marble_25-75_y-g.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","List3",13,"V2","BC","A","g-y","y->g","same","The |arrow |always lands on |yellow.","RB","RT"
3,11,"exp","marble","rarely","The marble rarely lands on yellow.","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","List3",14,"V2","BC","A","g-y","y->g","same","The |marble |rarely lands on |yellow.","LB","LT"
3,12,"exp","wheel","usually","The arrow usually lands on yellow.","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","wheel_100-0_g.png","marble_100-0_y.png","List3",15,"V2","BC","A","g-y","y->g","flipped","The |arrow |usually lands on |yellow.","LT","LB"
3,12,"exp","marble","never","The marble never lands on green.","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","List3",16,"V2","BC","A","g-y","y->g","flipped","The |marble |never lands on |green.","RT","RB"
