"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
1,2,"exp","wheel","always","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_wheel","List1",1,"V1","The arrow always lands on green.","The |arrow |always lands on |green.","b-g","b->g","flipped","LT","LB"
1,2,"exp","marble","rarely","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_100-0_g.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","2_marble","List1",2,"V1","The marble rarely lands on blue.","The |marble |rarely lands on |blue.","b-g","b->g","flipped","LB","LT"
1,3,"exp","wheel","usually","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","3_wheel","List1",3,"V1","The arrow usually lands on blue.","The |arrow |usually lands on |blue.","b-g","g->b","same","LB","LT"
1,3,"exp","marble","never","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-b.png","wheel_25-75_g-b.png","3_marble","List1",4,"V1","The marble never lands on blue.","The |marble |never lands on |blue.","b-g","g->b","same","LT","LB"
1,4,"exp","wheel","rarely","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_g-b.png","marble_100-0_g.png","marble_100-0_g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","4_wheel","List1",5,"V1","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-g","g->b","flipped","RB","RT"
1,4,"exp","marble","always","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_b.png","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_100-0_g.png","wheel_25-75_b-g.png","marble_25-75_g-b.png","4_marble","List1",6,"V1","The marble always lands on green.","The |marble |always lands on |green.","b-g","g->b","flipped","RT","RB"
1,6,"exp","wheel","never","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_y.png","marble_25-75_b-y.png","wheel_25-75_y-b.png","6_wheel","List1",7,"V1","The arrow never lands on blue.","The |arrow |never lands on |blue.","b-y","b->y","flipped","RT","RB"
1,6,"exp","marble","usually","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","wheel_100-0_y.png","marble_100-0_b.png","6_marble","List1",8,"V1","The marble usually lands on yellow.","The |marble |usually lands on |yellow.","b-y","b->y","flipped","RT","RB"
1,7,"exp","wheel","always","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","marble_25-75_y-b.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","7_wheel","List1",9,"V1","The arrow always lands on yellow.","The |arrow |always lands on |yellow.","b-y","y->b","same","RB","RT"
1,7,"exp","marble","rarely","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","7_marble","List1",10,"V1","The marble rarely lands on yellow.","The |marble |rarely lands on |yellow.","b-y","y->b","same","RT","RB"
1,8,"exp","wheel","usually","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_wheel","List1",11,"V1","The arrow usually lands on yellow.","The |arrow |usually lands on |yellow.","b-y","y->b","flipped","LT","LB"
1,8,"exp","marble","never","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_marble","List1",12,"V1","The marble never lands on blue.","The |marble |never lands on |blue.","b-y","y->b","flipped","RB","RT"
1,11,"exp","wheel","rarely","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","wheel_100-0_y.png","marble_100-0_y.png","11_wheel","List1",13,"V1","The arrow rarely lands on yellow.","The |arrow |rarely lands on |yellow.","g-y","y->g","same","LT","LB"
1,11,"exp","marble","always","marble_100-0_y.png","marble_25-75_y-g.png","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_25-75_y-g.png","wheel_25-75_y-g.png","marble_100-0_y.png","wheel_100-0_y.png","11_marble","List1",14,"V1","The marble always lands on yellow.","The |marble |always lands on |yellow.","g-y","y->g","same","LB","LT"
1,12,"exp","wheel","never","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_y.png","marble_25-75_y-g.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","wheel_100-0_g.png","marble_100-0_y.png","12_wheel","List1",15,"V1","The arrow never lands on yellow.","The |arrow |never lands on |yellow.","g-y","y->g","flipped","LB","LT"
1,12,"exp","marble","usually","marble_25-75_y-g.png","marble_100-0_y.png","wheel_25-75_g-y.png","wheel_100-0_g.png","wheel_100-0_g.png","marble_100-0_y.png","wheel_25-75_g-y.png","marble_25-75_y-g.png","12_marble","List1",16,"V1","The marble usually lands on green.","The |marble |usually lands on |green.","g-y","y->g","flipped","RB","RT"
1,1,"filler","wheel","0","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","1_wheel","List1",17,"V1","The arrow has a 0 percent chance of landing on green.","The |arrow |has a 0 percent chance of landing on |green.","b-g","b->g","same","RT","RB"
1,1,"filler","marble","0","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","1_marble","List1",18,"V1","The marble has a 0 percent chance of landing on green.","The |marble |has a 0 percent chance of landing on |green.","b-g","b->g","same","LT","LB"
1,5,"filler","wheel","25","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","5_wheel","List1",19,"V1","The arrow has a 25 percent chance of landing on blue.","The |arrow |has a 25 percent chance of landing on |blue.","b-y","b->y","same","RB","RT"
1,5,"filler","marble","25","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_b.png","5_marble","List1",20,"V1","The marble has a 25 percent chance of landing on blue.","The |marble |has a 25 percent chance of landing on |blue.","b-y","b->y","same","LT","LB"
1,9,"filler","wheel","75","wheel_25-75_g-y.png","wheel_100-0_g.png","marble_25-75_g-y.png","marble_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","9_wheel","List1",21,"V1","The arrow has a 75 percent chance of landing on yellow.","The |arrow |has a 75 percent chance of landing on |yellow.","g-y","g->y","same","LB","LT"
1,9,"filler","marble","75","marble_25-75_g-y.png","marble_100-0_g.png","wheel_25-75_g-y.png","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_g.png","9_marble","List1",22,"V1","The marble has a 75 percent chance of landing on yellow.","The |marble |has a 75 percent chance of landing on |yellow.","g-y","g->y","same","RT","RB"
1,10,"filler","wheel","100","wheel_100-0_y.png","wheel_25-75_y-g.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","marble_25-75_g-y.png","wheel_100-0_y.png","marble_100-0_g.png","10_wheel","List1",23,"V1","The arrow has a 100 percent chance of landing on yellow.","The |arrow |has a 100 percent chance of landing on |yellow.","g-y","g->y","flipped","LB","LT"
