"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
2,1,"exp","wheel","usually","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","1_wheel","List2",1,"V1","The arrow usually lands on green.","The |arrow |usually lands on |green.","b-g","b->g","same","RT","RB"
2,1,"exp","marble","never","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_b.png","marble_25-75_b-g.png","wheel_25-75_b-g.png","1_marble","List2",2,"V1","The marble never lands on green.","The |marble |never lands on |green.","b-g","b->g","same","LT","LB"
2,3,"exp","wheel","rarely","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_g.png","3_wheel","List2",3,"V1","The arrow rarely lands on green.","The |arrow |rarely lands on |green.","b-g","g->b","same","LT","LB"
2,3,"exp","marble","always","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","wheel_100-0_g.png","marble_100-0_g.png","3_marble","List2",4,"V1","The marble always lands on green.","The |marble |always lands on |green.","b-g","g->b","same","RB","RT"
2,4,"exp","wheel","never","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_g.png","marble_25-75_g-b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_100-0_b.png","4_wheel","List2",5,"V1","The arrow never lands on green.","The |arrow |never lands on |green.","b-g","g->b","flipped","RB","RT"
2,4,"exp","marble","usually","marble_25-75_g-b.png","marble_100-0_g.png","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_100-0_b.png","4_marble","List2",6,"V1","The marble usually lands on blue.","The |marble |usually lands on |blue.","b-g","g->b","flipped","LT","LB"
2,5,"exp","wheel","always","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","5_wheel","List2",7,"V1","The arrow always lands on blue.","The |arrow |always lands on |blue.","b-y","b->y","same","LT","LB"
2,5,"exp","marble","rarely","marble_25-75_b-y.png","marble_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","5_marble","List2",8,"V1","The marble rarely lands on blue.","The |marble |rarely lands on |blue.","b-y","b->y","same","RT","RB"
2,7,"exp","wheel","usually","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","marble_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","7_wheel","List2",9,"V1","The arrow usually lands on blue.","The |arrow |usually lands on |blue.","b-y","y->b","same","LB","LT"
2,7,"exp","marble","never","marble_100-0_y.png","marble_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","7_marble","List2",10,"V1","The marble never lands on blue.","The |marble |never lands on |blue.","b-y","y->b","same","LB","LT"
2,8,"exp","wheel","rarely","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_b.png","marble_100-0_y.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","8_wheel","List2",11,"V1","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-y","y->b","flipped","LB","LT"
