"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
1,2,"exp","wheel","always","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","marble_100-0_b.png","wheel_100-0_g.png","marble_25-75_b-g.png","wheel_25-75_g-b.png","2_wheel","List1",1,"V2","The arrow always lands on green.","The |arrow |always lands on |green.","b-g","b->g","flipped","RT","RB"
1,2,"exp","marble","rarely","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","wheel_100-0_g.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_marble","List1",2,"V2","The marble rarely lands on blue.","The |marble |rarely lands on |blue.","b-g","b->g","flipped","RB","RT"
1,3,"exp","wheel","usually","wheel_25-75_g-b.png","wheel_100-0_g.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_100-0_g.png","wheel_25-75_g-b.png","marble_25-75_g-b.png","3_wheel","List1",3,"V2","The arrow usually lands on blue.","The |arrow |usually lands on |blue.","b-g","g->b","same","LB","LT"
1,3,"exp","marble","never","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_g.png","marble_25-75_g-b.png","wheel_25-75_g-b.png","3_marble","List1",4,"V2","The marble never lands on blue.","The |marble |never lands on |blue.","b-g","g->b","same","LT","LB"
1,4,"exp","wheel","rarely","wheel_25-75_b-g.png","wheel_100-0_b.png","marble_25-75_g-b.png","marble_100-0_g.png","wheel_100-0_b.png","marble_100-0_g.png","wheel_25-75_b-g.png","marble_25-75_g-b.png","4_wheel","List1",5,"V2","The arrow rarely lands on blue.","The |arrow |rarely lands on |blue.","b-g","g->b","flipped","LB","LT"
1,4,"exp","marble","always","marble_100-0_g.png","marble_25-75_g-b.png","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_g.png","wheel_100-0_b.png","marble_25-75_g-b.png","wheel_25-75_b-g.png","4_marble","List1",6,"V2","The marble always lands on green.","The |marble |always lands on |green.","b-g","g->b","flipped","LT","LB"
1,7,"exp","wheel","never","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","7_wheel","List1",7,"V2","The arrow never lands on blue.","The |arrow |never lands on |blue.","b-y","y->b","same","LB","LT"
1,7,"exp","marble","usually","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_25-75_y-b.png","wheel_100-0_y.png","marble_100-0_y.png","7_marble","List1",8,"V2","The marble usually lands on blue.","The |marble |usually lands on |blue.","b-y","y->b","same","RT","RB"
1,8,"exp","wheel","always","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_wheel","List1",9,"V2","The arrow always lands on blue.","The |arrow |always lands on |blue.","b-y","y->b","flipped","LB","LT"
1,8,"exp","marble","rarely","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_b-y.png","wheel_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_y-b.png","wheel_100-0_b.png","marble_100-0_y.png","8_marble","List1",10,"V2","The marble rarely lands on yellow.","The |marble |rarely lands on |yellow.","b-y","y->b","flipped","RT","RB"
1,10,"exp","wheel","usually","wheel_25-75_y-g.png","wheel_100-0_y.png","marble_25-75_g-y.png","marble_100-0_g.png","marble_100-0_g.png","wheel_100-0_y.png","marble_25-75_g-y.png","wheel_25-75_y-g.png","10_wheel","List1",11,"V2","The arrow usually lands on green.","The |arrow |usually lands on |green.","g-y","g->y","flipped","RB","RT"
