"list_id","display_id","condition","target_object","modal","target_image","competitor_image","other1_image","other2_image","LT","RT","LB","RB","item_id","list_name","trial_in_list","variant","sentence","instruction","color_pair","marble_orientation","wheel_option","target_loc","competitor_loc"
4,1,"exp","wheel","never","wheel_100-0_b.png","wheel_25-75_b-g.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","1_wheel","List4",1,"V3","The arrow never lands on green.","The |arrow |never lands on |green.","b-g","b->g","same","LT","LB"
4,1,"exp","marble","usually","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_b-g.png","wheel_100-0_b.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-g.png","marble_25-75_b-g.png","1_marble","List4",2,"V3","The marble usually lands on green.","The |marble |usually lands on |green.","b-g","b->g","same","RB","RT"
4,2,"exp","wheel","always","wheel_100-0_g.png","wheel_25-75_g-b.png","marble_100-0_b.png","marble_25-75_b-g.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_wheel","List4",3,"V3","The arrow always lands on green.","The |arrow |always lands on |green.","b-g","b->g","flipped","LT","LB"
4,2,"exp","marble","rarely","marble_25-75_b-g.png","marble_100-0_b.png","wheel_25-75_g-b.png","wheel_100-0_g.png","wheel_100-0_g.png","marble_100-0_b.png","wheel_25-75_g-b.png","marble_25-75_b-g.png","2_marble","List4",4,"V3","The marble rarely lands on blue.","The |marble |rarely lands on |blue.","b-g","b->g","flipped","RB","RT"
4,5,"exp","wheel","usually","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_25-75_b-y.png","marble_100-0_b.png","marble_25-75_b-y.png","wheel_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_b.png","5_wheel","List4",5,"V3","The arrow usually lands on yellow.","The |arrow |usually lands on |yellow.","b-y","b->y","same","RT","RB"
4,5,"exp","marble","never","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_b.png","wheel_25-75_b-y.png","wheel_100-0_b.png","marble_100-0_b.png","wheel_25-75_b-y.png","marble_25-75_b-y.png","5_marble","List4",6,"V3","The marble never lands on yellow.","The |marble |never lands on |yellow.","b-y","b->y","same","RT","RB"
4,6,"exp","wheel","rarely","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_b-y.png","marble_100-0_b.png","wheel_100-0_y.png","marble_100-0_b.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","6_wheel","List4",7,"V3","The arrow rarely lands on yellow.","The |arrow |rarely lands on |yellow.","b-y","b->y","flipped","LB","LT"
4,6,"exp","marble","always","marble_100-0_b.png","marble_25-75_b-y.png","wheel_100-0_y.png","wheel_25-75_y-b.png","wheel_25-75_y-b.png","marble_25-75_b-y.png","wheel_100-0_y.png","marble_100-0_b.png","6_marble","List4",8,"V3","The marble always lands on blue.","The |marble |always lands on |blue.","b-y","b->y","flipped","RB","RT"
4,7,"exp","wheel","never","wheel_100-0_y.png","wheel_25-75_y-b.png","marble_100-0_y.png","marble_25-75_y-b.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","7_wheel","List4",9,"V3","The arrow never lands on blue.","The |arrow |never lands on |blue.","b-y","y->b","same","RB","RT"
4,7,"exp","marble","usually","marble_25-75_y-b.png","marble_100-0_y.png","wheel_25-75_y-b.png","wheel_100-0_y.png","marble_25-75_y-b.png","wheel_25-75_y-b.png","marble_100-0_y.png","wheel_100-0_y.png","7_marble","List4",10,"V3","The marble usually lands on blue.","The |marble |usually lands on |blue.","b-y","y->b","same","LT","LB"
4,9,"exp","wheel","always","wheel_100-0_g.png","wheel_25-75_g-y.png","marble_100-0_g.png","marble_25-75_g-y.png","wheel_25-75_g-y.png","marble_25-75_g-y.png","wheel_100-0_g.png","marble_100-0_g.png","9_wheel","List4",11,"V3","The arrow always lands on green.","The |arrow |always lands on |green.","g-y","g->y","same","LB","LT"
