instruction1,workerid,ExpFiller,displayID,location2,instruction3,target,response,Answer.condition,location1,location4,modal,Answer.time_in_minutes,location3,competitor,correctAns,condition,list,response_times
The |arrow |usually lands on |blue.,0,prac,1,marble_100-0_b,,4,"['AOI1', 'AOI3', 'AOI4', 'AOI4']",undefined,marble_25-75_g-b,wheel_25-75_g-b,usually,3.97465,wheel_100-0_g,3,AOI4,prac,,
The |marble |has a 25% chance of landing on |green.,0,prac,2,wheel_25-75_y-g,,3,"['AOI4', 'AOI3', 'AOI3', 'AOI3']",undefined,wheel_100-0_g,marble_100-0_g,num25,3.97465,marble_25-75_g-y,4,AOI3,prac,,
The |arrow |has a 100% chance of landing on |yellow.,0,prac,3,wheel_100-0_y,,2,"['AOI3', 'AOI1', 'AOI1', 'AOI2']",undefined,wheel_100-0_b,marble_25-75_y-b,num100,3.97465,marble_25-75_b-y,1,AOI2,prac,,
The |marble |never lands on |green.,0,prac,4,marble_25-75_b-g,,1,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",undefined,marble_100-0_b,wheel_25-75_b-g,never,3.97465,wheel_100-0_g,3,AOI1,prac,,
,0,Filler,32,wheel_25-75_g-b,The |marble |has a 100% chance of landing on |blue.,3,"['AOI1', 'AOI1', 'AOI3', 'AOI3']",undefined,wheel_25-75_b-g,marble_100-0_g,num100,3.97465,marble_100-0_b,4,AOI3,late,1,"[2721, 3936, 5827, 6986]"
,0,Exp,5,marble_25-75_y-b,The |marble |never lands on |blue.,1,"['AOI3', 'AOI3', 'AOI1', 'AOI1']",undefined,marble_100-0_y,wheel_25-75_y-b,never,3.97465,wheel_100-0_y,2,AOI1,prag,1,"[661, 1798, 4239, 4643]"
,0,Filler,26,marble_100-0_g,The |marble |has a 0% chance of landing on |green.,1,"['AOI1', 'AOI1', 'AOI1', 'AOI1']",undefined,marble_100-0_b,wheel_25-75_g-b,num0,3.97465,wheel_25-75_b-g,2,AOI1,late,1,"[670, 2429, 3791, 5613]"
,0,Filler,30,wheel_100-0_y,The |marble |has a 75% chance of landing on |yellow.,4,"['AOI1', 'AOI1', 'AOI3', 'AOI4']",undefined,wheel_100-0_b,marble_25-75_b-y,num75,3.97465,marble_25-75_y-b,3,AOI4,late,1,"[550, 1023, 2710, 4049]"
,0,Filler,31,wheel_100-0_y,The |arrow |has a 100% chance of landing on |yellow.,2,"['AOI4', 'AOI1', 'AOI1', 'AOI2']",undefined,wheel_100-0_b,marble_25-75_g-b,num100,3.97465,marble_25-75_y-b,1,AOI2,late,1,"[483, 1900, 3351, 4409]"
,0,Exp,7,marble_25-75_b-g,The |arrow |never lands on |green.,3,"['AOI1', 'AOI3', 'AOI3', 'AOI3']",undefined,marble_100-0_b,wheel_25-75_b-g,never,3.97465,wheel_100-0_b,4,AOI3,prag,1,"[854, 2339, 3048, 4825]"
,0,Filler,5,wheel_100-0_y,The |arrow |has a 0% chance of landing on |blue.,2,"['AOI3', 'AOI3', 'AOI1', 'AOI2']",undefined,wheel_25-75_y-b,marble_25-75_y-b,num0,3.97465,marble_100-0_y,1,AOI2,prag,1,"[585, 1518, 4049, 5749]"
