modal,Answer.condition,response_times,instruction3,displayID,instruction1,location2,target,location4,ExpFiller,response,condition,Answer.time_in_minutes,competitor,list,location3,location1,correctAns,workerid
usually,undefined,,,1,The |arrow |usually lands on |blue.,marble_100-0_b,4,wheel_25-75_g-b,prac,"['AOI3', 'AOI2', 'AOI1', 'AOI3']",prac,4.178416666666666,3,,wheel_100-0_g,marble_25-75_g-b,AOI4,0
num25,undefined,,,2,The |marble |has a 25% chance of landing on |green.,wheel_25-75_y-g,3,marble_100-0_g,prac,"['AOI4', 'AOI2', 'AOI1', 'AOI3']",prac,4.178416666666666,4,,marble_25-75_g-y,wheel_100-0_g,AOI3,0
num100,undefined,,,3,The |arrow |has a 100% chance of landing on |yellow.,wheel_100-0_y,2,marble_25-75_y-b,prac,"['AOI4', 'AOI2', 'AOI1', 'AOI2']",prac,4.178416666666666,1,,marble_25-75_b-y,wheel_100-0_b,AOI2,0
never,undefined,,,4,The |marble |never lands on |green.,marble_25-75_b-g,1,wheel_25-75_b-g,prac,"['AOI1', 'AOI2', 'AOI3', 'AOI4']",prac,4.178416666666666,3,,wheel_100-0_g,marble_100-0_b,AOI1,0
num0,undefined,"[1167, 2587, 3973, 4363]",The |marble |has a 0% chance of landing on |green.,2,,marble_25-75_b-g,1,wheel_25-75_g-b,Filler,"['AOI3', 'AOI4', 'AOI2', 'AOI1']",prag,4.178416666666666,2,1,wheel_100-0_g,marble_100-0_b,AOI1,0
rarely,undefined,"[561, 1389, 2350, 2707]",The |marble |rarely lands on |blue.,7,,wheel_25-75_b-g,3,marble_100-0_b,Exp,"['AOI3', 'AOI4', 'AOI2', 'AOI1']",prag,4.178416666666666,4,1,marble_25-75_b-g,wheel_100-0_b,AOI3,0
num100,undefined,"[497, 1750, 2044, 2352]",The |arrow |has a 100% chance of landing on |green.,2,,marble_25-75_b-g,4,wheel_100-0_g,Filler,"['AOI2', 'AOI2', 'AOI1', 'AOI2']",prag,4.178416666666666,3,1,wheel_25-75_g-b,marble_100-0_b,AOI4,0
rarely,undefined,"[607, 3341, 3596, 3848]",The |arrow |rarely lands on |green.,11,,marble_25-75_g-y,4,wheel_25-75_g-y,Exp,"['AOI2', 'AOI4', 'AOI3', 'AOI4']",prag,4.178416666666666,3,1,wheel_100-0_g,marble_100-0_g,AOI4,0
usually,undefined,"[274, 529, 771, 1072]",The |marble |usually lands on |yellow.,8,,marble_25-75_b-y,2,wheel_25-75_b-y,Exp,"['AOI3', 'AOI4', 'AOI3', 'AOI4']",prag,4.178416666666666,1,1,wheel_100-0_b,marble_100-0_b,AOI2,0
never,undefined,"[241, 531, 774, 5057]",The |marble |never lands on |yellow.,1,,marble_100-0_b,2,wheel_25-75_y-b,Exp,"['AOI3', 'AOI4', 'AOI3', 'AOI1']",prag,4.178416666666666,1,1,wheel_100-0_y,marble_25-75_b-y,AOI2,0
num75,undefined,"[476, 1063, 1731, 2446]",The |marble |has a 75% chance of landing on |yellow.,11,,marble_25-75_g-y,2,wheel_100-0_g,Filler,"['AOI2', 'AOI1', 'AOI2', 'AOI4']",prag,4.178416666666666,1,1,wheel_25-75_g-y,marble_100-0_g,AOI2,0
